[2025-07-19 08:24:23] [INFO] 日志系统初始化完成
[2025-07-19 08:24:23] [INFO] FSP-TCS仿真开始
[2025-07-19 08:24:23] [INFO] 开始FSP仿真训练...
[2025-07-19 08:24:23] [INFO] FSP仿真训练开始
[2025-07-19 08:24:23] [INFO] 迭代 1 完成，用时 0.23秒
[2025-07-19 08:24:31] [INFO] 迭代 50 完成，用时 0.12秒
[2025-07-19 08:24:31] [INFO] 迭代 51 完成，用时 0.13秒
[2025-07-19 08:24:31] [INFO] 迭代 52 完成，用时 0.12秒
[2025-07-19 08:24:31] [INFO] 迭代 53 完成，用时 0.12秒
[2025-07-19 08:24:31] [INFO] 迭代 54 完成，用时 0.12秒
[2025-07-19 08:24:31] [INFO] 迭代 55 完成，用时 0.12秒
[2025-07-19 08:24:32] [INFO] 迭代 56 完成，用时 0.11秒
[2025-07-19 08:24:32] [INFO] 迭代 57 完成，用时 0.11秒
[2025-07-19 08:24:32] [INFO] 迭代 58 完成，用时 0.13秒
[2025-07-19 08:24:32] [INFO] 迭代 59 完成，用时 0.11秒
[2025-07-19 08:24:32] [INFO] 迭代 60 完成，用时 0.12秒
[2025-07-19 08:24:32] [INFO] 迭代 61 完成，用时 0.12秒
[2025-07-19 08:24:32] [INFO] 迭代 62 完成，用时 0.12秒
[2025-07-19 08:24:32] [INFO] 迭代 63 完成，用时 0.12秒
[2025-07-19 08:24:33] [INFO] 迭代 64 完成，用时 0.13秒
[2025-07-19 08:24:33] [INFO] 迭代 65 完成，用时 0.12秒
[2025-07-19 08:24:33] [INFO] 迭代 66 完成，用时 0.13秒
[2025-07-19 08:24:33] [INFO] 迭代 67 完成，用时 0.11秒
[2025-07-19 08:24:33] [INFO] 迭代 68 完成，用时 0.11秒
[2025-07-19 08:24:33] [INFO] 迭代 69 完成，用时 0.12秒
[2025-07-19 08:24:33] [INFO] 迭代 70 完成，用时 0.11秒
[2025-07-19 08:24:33] [INFO] 迭代 71 完成，用时 0.13秒
[2025-07-19 08:24:33] [INFO] 迭代 72 完成，用时 0.14秒
[2025-07-19 08:24:34] [INFO] 迭代 73 完成，用时 0.14秒
[2025-07-19 08:24:34] [INFO] 迭代 74 完成，用时 0.12秒
[2025-07-19 08:24:34] [INFO] 迭代 75 完成，用时 0.12秒
[2025-07-19 08:24:34] [INFO] 迭代 76 完成，用时 0.12秒
[2025-07-19 08:24:34] [INFO] 迭代 77 完成，用时 0.13秒
[2025-07-19 08:24:34] [INFO] 迭代 78 完成，用时 0.12秒
[2025-07-19 08:24:34] [INFO] 迭代 79 完成，用时 0.12秒
[2025-07-19 08:24:34] [INFO] 迭代 80 完成，用时 0.13秒
[2025-07-19 08:24:35] [INFO] 迭代 81 完成，用时 0.13秒
[2025-07-19 08:24:35] [INFO] 迭代 82 完成，用时 0.11秒
[2025-07-19 08:24:35] [INFO] 迭代 83 完成，用时 0.12秒
[2025-07-19 08:24:35] [INFO] 迭代 84 完成，用时 0.12秒
[2025-07-19 08:24:35] [INFO] 迭代 85 完成，用时 0.12秒
[2025-07-19 08:24:35] [INFO] 迭代 86 完成，用时 0.11秒
[2025-07-19 08:24:35] [INFO] 迭代 87 完成，用时 0.11秒
[2025-07-19 08:24:35] [INFO] 迭代 88 完成，用时 0.12秒
[2025-07-19 08:24:36] [INFO] 迭代 89 完成，用时 0.12秒
[2025-07-19 08:24:36] [INFO] 迭代 90 完成，用时 0.13秒
[2025-07-19 08:24:36] [INFO] 迭代 91 完成，用时 0.12秒
[2025-07-19 08:24:36] [INFO] 迭代 92 完成，用时 0.12秒
[2025-07-19 08:24:36] [INFO] 迭代 93 完成，用时 0.12秒
[2025-07-19 08:24:36] [INFO] 迭代 94 完成，用时 0.12秒
[2025-07-19 08:24:36] [INFO] 迭代 95 完成，用时 0.13秒
[2025-07-19 08:24:36] [INFO] 迭代 96 完成，用时 0.13秒
[2025-07-19 08:24:37] [INFO] 迭代 97 完成，用时 0.13秒
[2025-07-19 08:24:37] [INFO] 迭代 98 完成，用时 0.12秒
[2025-07-19 08:24:37] [INFO] 迭代 99 完成，用时 0.13秒
[2025-07-19 08:24:37] [INFO] 迭代 100 完成，用时 0.12秒
[2025-07-19 08:24:37] [INFO] FSP仿真训练成功完成
[2025-07-19 08:24:49] [ERROR] 仿真出错: 输入参数太多。
[2025-07-19 08:24:49] [ERROR] 错误位置: D:\CODE\FSP-IDS\utils\DataManager.m, 行号: 18
[2025-07-19 08:24:49] [INFO] 日志系统关闭
